environment | time (millisecond),membrane | i_to_plus_p_K_0 (picoA_per_picoF),membrane | i_to_plus_p_K_10 (picoA_per_picoF),membrane | i_to_plus_p_K_20 (picoA_per_picoF),membrane | i_to_plus_p_K_30 (picoA_per_picoF),membrane | i_to_plus_p_K_40 (picoA_per_picoF),membrane | i_to_plus_p_K_50 (picoA_per_picoF),membrane | i_to_plus_p_K_60 (picoA_per_picoF),membrane | i_to_plus_p_K_70 (picoA_per_picoF),membrane | i_to_plus_p_K_80 (picoA_per_picoF),membrane | i_to_plus_p_K_neg10 (picoA_per_picoF),membrane | i_to_plus_p_K_neg20 (picoA_per_picoF),membrane | i_to_plus_p_K_neg30 (picoA_per_picoF)
243,0.0299319,0.112481,0.47073,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00993563,0.00390536,0.0010197
244,0.0298966,0.112432,0.470729,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00993022,0.00390342,0.00101914
245,0.0298615,0.112383,0.470728,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00992484,0.00390149,0.00101859
246,0.0298266,0.112334,0.470727,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00991947,0.00389958,0.00101804
247,0.029792,0.112286,0.470726,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00991412,0.00389768,0.00101751
248,0.0297577,0.112239,0.470726,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00990878,0.00389579,0.00101697
249,0.0297236,0.112192,0.470725,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00990347,0.00389391,0.00101645
250,0.0296897,0.112145,0.470724,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00989817,0.00389204,0.00101593
251,0.0296561,0.112099,0.470724,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00989288,0.00389018,0.00101541
252,0.0296227,0.112054,0.470723,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00988762,0.00388833,0.00101491
253,0.0295896,0.112008,0.470723,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00988237,0.00388649,0.0010144
254,0.0295567,0.111963,0.470722,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00987714,0.00388466,0.00101391
255,0.029524,0.111919,0.470722,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00987192,0.00388283,0.00101342
256,0.0294916,0.111875,0.470722,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00986672,0.00388102,0.00101293
257,0.0294593,0.111831,0.470721,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00986153,0.00387922,0.00101245
258,0.0294273,0.111787,0.470721,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00985636,0.00387742,0.00101197
259,0.0293955,0.111744,0.470721,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00985121,0.00387564,0.0010115
