environment | time (millisecond),membrane | i_to_plus_p_K_0 (picoA_per_picoF),membrane | i_to_plus_p_K_10 (picoA_per_picoF),membrane | i_to_plus_p_K_20 (picoA_per_picoF),membrane | i_to_plus_p_K_30 (picoA_per_picoF),membrane | i_to_plus_p_K_40 (picoA_per_picoF),membrane | i_to_plus_p_K_50 (picoA_per_picoF),membrane | i_to_plus_p_K_60 (picoA_per_picoF),membrane | i_to_plus_p_K_70 (picoA_per_picoF),membrane | i_to_plus_p_K_80 (picoA_per_picoF),membrane | i_to_plus_p_K_neg10 (picoA_per_picoF),membrane | i_to_plus_p_K_neg20 (picoA_per_picoF),membrane | i_to_plus_p_K_neg30 (picoA_per_picoF)
246,0.0399309,0.118918,0.47072,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.0215227,0.0112295,0.00340187
247,0.0399057,0.118794,0.47072,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.0215063,0.0112152,0.00339862
248,0.0398806,0.11867,0.47072,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.0214898,0.011201,0.00339539
249,0.0398555,0.118545,0.470719,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.0214734,0.0111868,0.00339219
250,0.0398304,0.118421,0.470719,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.0214569,0.0111726,0.00338901
251,0.0398055,0.118296,0.470719,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.0214405,0.0111585,0.00338586
252,0.0397806,0.118171,0.470719,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.021424,0.0111445,0.00338273
253,0.0397557,0.118046,0.470719,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.0214075,0.0111305,0.00337963
254,0.0397309,0.117921,0.470719,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.021391,0.0111165,0.00337655
255,0.0397061,0.117796,0.470719,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.0213745,0.0111026,0.0033735
